fdc_id,wweia_food_category,wweia_food_category_description,full food code description,food_code,keyword,Schema Code,Grandparent
2340842,5802,Ice cream and frozen dairy desserts,"Frozen yogurt cone, chocolate, waffle cone",11461320,Frozen yogurt cone,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2341032,5802,Ice cream and frozen dairy desserts,"Ice cream, NFS",13110000,Ice cream,13 Milk desserts and sauces,Dairy
2341033,5802,Ice cream and frozen dairy desserts,"Ice cream, vanilla",13110100,Ice cream,13 Milk desserts and sauces,Dairy
2341034,5802,Ice cream and frozen dairy desserts,"Ice cream, vanilla, with additional ingredients",13110102,Ice cream,13 Milk desserts and sauces,Dairy
2341035,5802,Ice cream and frozen dairy desserts,"Ice cream, chocolate",13110110,Ice cream,13 Milk desserts and sauces,Dairy
2341036,5802,Ice cream and frozen dairy desserts,"Ice cream, chocolate, with additional ingredients",13110112,Ice cream,13 Milk desserts and sauces,Dairy
2341037,5802,Ice cream and frozen dairy desserts,"Ice cream, soft serve, vanilla",13110200,Ice cream,13 Milk desserts and sauces,Dairy
2341038,5802,Ice cream and frozen dairy desserts,"Ice cream, soft serve, chocolate",13110210,Ice cream,13 Milk desserts and sauces,Dairy
2341039,5802,Ice cream and frozen dairy desserts,"Gelato, vanilla",13110460,Gelato,13 Milk desserts and sauces,Dairy
2341040,5802,Ice cream and frozen dairy desserts,"Gelato, chocolate",13110470,Gelato,13 Milk desserts and sauces,Dairy
2341041,5802,Ice cream and frozen dairy desserts,"Ice cream bar, vanilla",13120050,Ice cream bar,13 Milk desserts and sauces,Dairy
2341042,5802,Ice cream and frozen dairy desserts,"Ice cream bar, vanilla, chocolate coated",13120100,Ice cream bar,13 Milk desserts and sauces,Dairy
2341043,5802,Ice cream and frozen dairy desserts,Ice cream candy bar,13120110,Ice cream candy bar,13 Milk desserts and sauces,Dairy
2341044,5802,Ice cream and frozen dairy desserts,"Ice cream bar, chocolate",13120140,Ice cream bar,13 Milk desserts and sauces,Dairy
2341045,5802,Ice cream and frozen dairy desserts,"Ice cream sandwich, vanilla",13120500,Ice cream sandwich,13 Milk desserts and sauces,Dairy
2341046,5802,Ice cream and frozen dairy desserts,"Ice cream sandwich, chocolate",13120510,Ice cream sandwich,13 Milk desserts and sauces,Dairy
2341047,5802,Ice cream and frozen dairy desserts,Ice cream cookie sandwich,13120550,Ice cream cookie sandwich,13 Milk desserts and sauces,Dairy
2341048,5802,Ice cream and frozen dairy desserts,"Ice cream cone, scooped, vanilla",13120730,Ice cream cone,13 Milk desserts and sauces,Dairy
2341049,5802,Ice cream and frozen dairy desserts,"Ice cream cone, scooped, vanilla, waffle cone",13120735,Ice cream cone,13 Milk desserts and sauces,Dairy
