fdc_id,description,short_description,food_code,wweia_food_category,wweia_food_category_description
2342879,Black bean sauce,Black bean sauce,41205100,8412,"Dips, gravies, other sauces"
2343023,Peanut sauce,Peanut sauce,42204050,8412,"Dips, gravies, other sauces"
2343024,"Gravy, vegetarian",Gravy,42204100,8412,"Dips, gravies, other sauces"
2344801,"Guacamole, NFS",Guacamole,63409010,8412,"Dips, gravies, other sauces"
2344802,Guacamole with tomatoes,Guacamole with tomatoes,63409015,8412,"Dips, gravies, other sauces"
2345255,"Enchilada sauce, green",Enchilada sauce,74402260,8412,"Dips, gravies, other sauces"
2345256,"Salsa verde or salsa, green",Salsa verde or salsa,74402350,8412,"Dips, gravies, other sauces"
2345576,Eggplant dip,Eggplant dip,75412030,8412,"Dips, gravies, other sauces"
2345726,Garlic sauce,Garlic sauce,81301000,8412,"Dips, gravies, other sauces"
2345727,Lemon-butter sauce,Lemon-butter sauce,81301020,8412,"Dips, gravies, other sauces"
2345728,Hollandaise sauce,Hollandaise sauce,81302010,8412,"Dips, gravies, other sauces"
2345732,Pesto sauce,Pesto sauce,81302070,8412,"Dips, gravies, other sauces"
2345734,"Sauce, NFS",Sauce,81308200,8412,"Dips, gravies, other sauces"
2345735,Curry sauce,Curry sauce,81312100,8412,"Dips, gravies, other sauces"
2340831,"Frozen yogurt, NFS",Frozen yogurt,11459990,5802,Ice cream and frozen dairy desserts
2340832,"Frozen yogurt, vanilla",Frozen yogurt,11460000,5802,Ice cream and frozen dairy desserts
2340833,"Frozen yogurt, chocolate",Frozen yogurt,11460100,5802,Ice cream and frozen dairy desserts
2340834,"Frozen yogurt, soft serve, vanilla",Frozen yogurt,11460500,5802,Ice cream and frozen dairy desserts
2340835,"Frozen yogurt, soft serve, chocolate",Frozen yogurt,11460510,5802,Ice cream and frozen dairy desserts
2340836,Frozen yogurt sandwich,Frozen yogurt sandwich,11461200,5802,Ice cream and frozen dairy desserts
2340837,"Frozen yogurt bar, vanilla",Frozen yogurt bar,11461210,5802,Ice cream and frozen dairy desserts
2340838,"Frozen yogurt bar, chocolate",Frozen yogurt bar,11461220,5802,Ice cream and frozen dairy desserts
2340839,"Frozen yogurt cone, chocolate",Frozen yogurt cone,11461250,5802,Ice cream and frozen dairy desserts
2340840,"Frozen yogurt cone, vanilla",Frozen yogurt cone,11461260,5802,Ice cream and frozen dairy desserts
2340841,"Frozen yogurt cone, vanilla, waffle cone",Frozen yogurt cone,11461300,5802,Ice cream and frozen dairy desserts
2340842,"Frozen yogurt cone, chocolate, waffle cone",Frozen yogurt cone,11461320,5802,Ice cream and frozen dairy desserts
2341032,"Ice cream, NFS",Ice cream,13110000,5802,Ice cream and frozen dairy desserts
2341033,"Ice cream, vanilla",Ice cream,13110100,5802,Ice cream and frozen dairy desserts
2341034,"Ice cream, vanilla, with additional ingredients",Ice cream,13110102,5802,Ice cream and frozen dairy desserts
2341035,"Ice cream, chocolate",Ice cream,13110110,5802,Ice cream and frozen dairy desserts
2341036,"Ice cream, chocolate, with additional ingredients",Ice cream,13110112,5802,Ice cream and frozen dairy desserts
2341037,"Ice cream, soft serve, vanilla",Ice cream,13110200,5802,Ice cream and frozen dairy desserts
2341038,"Ice cream, soft serve, chocolate",Ice cream,13110210,5802,Ice cream and frozen dairy desserts
2341039,"Gelato, vanilla",Gelato,13110460,5802,Ice cream and frozen dairy desserts
2341040,"Gelato, chocolate",Gelato,13110470,5802,Ice cream and frozen dairy desserts
2341041,"Ice cream bar, vanilla",Ice cream bar,13120050,5802,Ice cream and frozen dairy desserts
2341042,"Ice cream bar, vanilla, chocolate coated",Ice cream bar,13120100,5802,Ice cream and frozen dairy desserts
2341043,Ice cream candy bar,Ice cream candy bar,13120110,5802,Ice cream and frozen dairy desserts
2341044,"Ice cream bar, chocolate",Ice cream bar,13120140,5802,Ice cream and frozen dairy desserts
2341045,"Ice cream sandwich, vanilla",Ice cream sandwich,13120500,5802,Ice cream and frozen dairy desserts
2341046,"Ice cream sandwich, chocolate",Ice cream sandwich,13120510,5802,Ice cream and frozen dairy desserts
2341047,Ice cream cookie sandwich,Ice cream cookie sandwich,13120550,5802,Ice cream and frozen dairy desserts
2341048,"Ice cream cone, scooped, vanilla",Ice cream cone,13120730,5802,Ice cream and frozen dairy desserts
2341049,"Ice cream cone, scooped, vanilla, waffle cone",Ice cream cone,13120735,5802,Ice cream and frozen dairy desserts
2341050,"Ice cream cone, NFS",Ice cream cone,13120740,5802,Ice cream and frozen dairy desserts
2341051,"Ice cream cone, scooped, chocolate",Ice cream cone,13120770,5802,Ice cream and frozen dairy desserts
2341052,"Ice cream cone, scooped, chocolate, waffle cone",Ice cream cone,13120775,5802,Ice cream and frozen dairy desserts
2341053,"Ice cream cone, soft serve, vanilla",Ice cream cone,13120782,5802,Ice cream and frozen dairy desserts
2341054,"Ice cream cone, soft serve, chocolate",Ice cream cone,13120784,5802,Ice cream and frozen dairy desserts
2341055,"Ice cream cone, soft serve, vanilla, waffle cone",Ice cream cone,13120786,5802,Ice cream and frozen dairy desserts
2341056,"Ice cream cone, soft serve, chocolate, waffle cone",Ice cream cone,13120788,5802,Ice cream and frozen dairy desserts
2341057,"Ice cream cone, vanilla, prepackaged",Ice cream cone,13120790,5802,Ice cream and frozen dairy desserts
2341058,"Ice cream cone, chocolate, prepackaged",Ice cream cone,13120792,5802,Ice cream and frozen dairy desserts
2341061,"Ice cream sundae, NFS",Ice cream sundae,13121000,5802,Ice cream and frozen dairy desserts
2341062,"Ice cream sundae, fruit topping",Ice cream sundae,13121100,5802,Ice cream and frozen dairy desserts
2341063,Banana split,Banana split,13121120,5802,Ice cream and frozen dairy desserts
2341064,"Ice cream sundae, hot fudge topping",Ice cream sundae,13121300,5802,Ice cream and frozen dairy desserts
2341065,"Ice cream sundae, caramel topping",Ice cream sundae,13121400,5802,Ice cream and frozen dairy desserts
2341066,"Ice cream, fried",Ice cream,13126000,5802,Ice cream and frozen dairy desserts
2341067,"Light ice cream, NFS",Light ice cream,13130100,5802,Ice cream and frozen dairy desserts
2341068,"Light ice cream, vanilla",Light ice cream,13130300,5802,Ice cream and frozen dairy desserts
2341069,"Light ice cream, chocolate",Light ice cream,13130310,5802,Ice cream and frozen dairy desserts
2341070,"Soft serve, blended with candy or cookies, from fast food",Soft serve,13130700,5802,Ice cream and frozen dairy desserts
2341071,"Light ice cream sandwich, vanilla",Light ice cream sandwich,13135000,5802,Ice cream and frozen dairy desserts
2341072,"Light ice cream sandwich, chocolate",Light ice cream sandwich,13135010,5802,Ice cream and frozen dairy desserts
2341073,"Light ice cream bar, vanilla",Light ice cream bar,13140000,5802,Ice cream and frozen dairy desserts
2341074,"Light ice cream bar, vanilla, chocolate coated",Light ice cream bar,13140100,5802,Ice cream and frozen dairy desserts
2341075,"Light ice cream bar, chocolate",Light ice cream bar,13140115,5802,Ice cream and frozen dairy desserts
2341076,Creamsicle,Creamsicle,13140700,5802,Ice cream and frozen dairy desserts
2341077,Fudgesicle,Fudgesicle,13140900,5802,Ice cream and frozen dairy desserts
2341078,"Light ice cream cone, vanilla, prepackaged",Light ice cream cone,13142100,5802,Ice cream and frozen dairy desserts
2341079,"Light ice cream cone, chocolate, prepackaged",Light ice cream cone,13142110,5802,Ice cream and frozen dairy desserts
2341080,"Sherbet, all flavors",Sherbet,13150000,5802,Ice cream and frozen dairy desserts
2341081,"Fudgesicle, light",Fudgesicle,13161600,5802,Ice cream and frozen dairy desserts
2340843,"Baby Toddler food, NFS",Baby Toddler food,11480000,9007,Baby food: mixtures
2344849,"Baby Toddler fruit, with grain",Baby Toddler fruit,67100250,9007,Baby food: mixtures
2344850,"Baby Toddler fruit, with yogurt",Baby Toddler fruit,67100260,9007,Baby food: mixtures
2344851,"Baby Toddler fruit and vegetables, Stage 2",Baby Toddler fruit and vegetables,67100350,9007,Baby food: mixtures
2344852,"Baby Toddler fruit and vegetables, Stage 3",Baby Toddler fruit and vegetables,67100360,9007,Baby food: mixtures
2344853,"Baby Toddler fruit and vegetables, with grain",Baby Toddler fruit and vegetables,67100450,9007,Baby food: mixtures
2344854,"Baby Toddler fruit and vegetables, with yogurt",Baby Toddler fruit and vegetables,67100460,9007,Baby food: mixtures
2344855,"Baby Toddler fruit, vegetables, and meat",Baby Toddler fruit,67100470,9007,Baby food: mixtures
2344856,Baby Toddler fruit and meat,Baby Toddler fruit and meat,67100480,9007,Baby food: mixtures
2344873,"Baby Toddler juice, fruit and yogurt blend",Baby Toddler juice,67250150,9007,Baby food: mixtures
2345677,"Baby Toddler vegetables, with grain",Baby Toddler vegetables,76407050,9007,Baby food: mixtures
2345678,Baby Toddler vegetables and meat,Baby Toddler vegetables and meat,76407080,9007,Baby food: mixtures
2340844,"Baby Toddler yogurt, plain",Baby Toddler yogurt,11480010,9010,Baby food: yogurt
2340845,"Baby Toddler yogurt, with fruit",Baby Toddler yogurt,11480100,9010,Baby food: yogurt
2340846,"Chocolate milk, NFS",Chocolate milk,11511000,1208,"Flavored milk, nonfat"
2340849,"Chocolate milk, ready to drink, fat free",Chocolate milk,11511300,1208,"Flavored milk, nonfat"
2340855,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",Hot chocolate / Cocoa,11512020,1208,"Flavored milk, nonfat"
2340860,"Chocolate milk, made from dry mix with fat free milk",Chocolate milk,11513300,1208,"Flavored milk, nonfat"
2340866,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",Chocolate milk,11513384,1208,"Flavored milk, nonfat"
2340874,"Chocolate milk, made from syrup with fat free milk",Chocolate milk,11513700,1208,"Flavored milk, nonfat"
2340879,"Chocolate milk, made from light syrup with fat free milk",Chocolate milk,11513804,1208,"Flavored milk, nonfat"
2340881,"Hot chocolate / Cocoa, made with dry mix and water",Hot chocolate / Cocoa,11514100,1208,"Flavored milk, nonfat"
2340885,"Hot chocolate / Cocoa, made with dry mix and fat free milk",Hot chocolate / Cocoa,11514140,1208,"Flavored milk, nonfat"
2340887,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",Hot chocolate / Cocoa,11514310,1208,"Flavored milk, nonfat"
2340891,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",Hot chocolate / Cocoa,11514350,1208,"Flavored milk, nonfat"
2340897,"Strawberry milk, fat free",Strawberry milk,11519205,1208,"Flavored milk, nonfat"
2340848,"Chocolate milk, ready to drink, reduced fat",Chocolate milk,11511200,1204,"Flavored milk, reduced fat"
2340854,"Hot chocolate / Cocoa, ready to drink",Hot chocolate / Cocoa,11512010,1204,"Flavored milk, reduced fat"
2340857,"Hot chocolate / Cocoa, ready to drink, with whipped cream",Hot chocolate / Cocoa,11512100,1204,"Flavored milk, reduced fat"
2340859,"Chocolate milk, made from dry mix with reduced fat milk",Chocolate milk,11513150,1204,"Flavored milk, reduced fat"
